headline,pub_date,url,word_count,news_desk,source
Does Covid-19 Hit Women and Men Differently? U.S. Isn’t Keeping Track,2020-04-03T13:42:06+0000,https://www.nytimes.com/2020/04/03/us/coronavirus-male-female-data-bias.html,1308,Gender,The New York Times
Cancer Projects to Diversify Genetic Research Receive New Grants,2020-09-11T18:25:43+0000,https://www.nytimes.com/2020/09/11/science/genetic-cancer-research-race.html,747,Science,The New York Times
The Democratic Party Devours Itself,2020-02-26T10:00:17+0000,https://www.nytimes.com/2020/02/26/opinion/democratic-debate-south-carolina.html,1107,OpEd,The New York Times
BBC Orders Inquiry Into Diana Interview After Claim Princess Was Misled,2020-11-11T09:21:37+0000,https://www.nytimes.com/2020/11/11/world/europe/bbc-martin-bashir-diana-interview.html,943,Foreign,The New York Times
Romney Marches With Protesters in Washington,2020-06-08T02:11:49+0000,https://www.nytimes.com/2020/06/07/us/politics/mitt-romney-george-floyd-protests.html,773,Washington,The New York Times
Brooklyn Public Library and Brooklyn Historical Society to Merge,2020-02-27T21:33:13+0000,https://www.nytimes.com/2020/02/27/arts/brooklyn-public-library-brooklyn-historical-society.html,752,Culture,The New York Times
"In Wisconsin, Virus Creates New Front in Long-Simmering Partisan Wars",2020-04-23T16:32:05+0000,https://www.nytimes.com/2020/04/23/us/politics/wisconsin-coronavirus-protests.html,1552,Politics,The New York Times
A Sitcom for Families With ‘Funny Shapes’,2020-09-11T12:11:27+0000,https://www.nytimes.com/2020/09/11/arts/television/katherine-ryan-duchess.html,1162,Culture,The New York Times
Covid-19 Trickles Into Haiti: ‘This Monster Is Coming Our Way’,2020-04-22T18:01:08+0000,https://www.nytimes.com/2020/04/22/world/americas/coronavirus-haiti.html,1372,Foreign,The New York Times
"The Evolving Travel ‘Experience’: Virtual, Actual and In Between",2020-11-12T10:00:16+0000,https://www.nytimes.com/2020/11/12/travel/travel-tours-experiences-virus.html,1562,Travel,The New York Times
Quotation of the Day: Top Court Rules Putin Can Bypass Term Limits,2020-03-17T04:06:00+0000,https://www.nytimes.com/2020/03/17/todayspaper/quotation-of-the-day-top-court-rules-putin-can-bypass-term-limits.html,41,Summary,The New York Times
